STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"6242",144.895847,-37.760372,15385
"6261",144.90448,-37.768213,15402
"6308",144.904512,-37.768673,15441
"6286",144.895802,-37.761984,15422
"6168",144.886052,-37.753591,13782
"6096",144.885896,-37.753462,13437
"6095",144.884403,-37.7533,13436
"6263",144.89841,-37.7697,15404
"6264",144.894269,-37.769211,15405
"6311",144.894334,-37.769303,15445
"6265",144.891599,-37.768893,15406
"6312",144.891257,-37.768932,15446
"6266",144.88954,-37.768631,15407
"6313",144.889514,-37.76873,15447
"6314",144.887066,-37.768992,15448
"7332",144.883931,-37.769441,9609
"9170",144.883719,-37.769329,17441
"9171",144.877975,-37.768928,17442
"7334",144.877825,-37.769015,9610
"4720",144.766298,-37.751345,14908
"4916",144.765718,-37.751388,14601
"47536",144.775019,-37.7599,15312
"47535",144.774344,-37.759716,15311
"4997",144.775221,-37.762616,16107
"47583",144.776116,-37.763832,17269
"4928",144.762254,-37.751476,14606
"4719",144.762075,-37.751373,14898
"20067",144.770702,-37.75926,6324
"7214",144.770686,-37.759413,16783
"4707",144.775561,-37.764173,13289
"4992",144.768949,-37.759055,16104
"7213",144.768966,-37.759254,16782
"4996",144.772224,-37.762271,16106
"4987",144.761915,-37.753308,16098
"4718",144.761704,-37.753133,14887
"4709",144.771688,-37.762351,13290
"7135",144.769963,-37.761589,16227
"4713",144.769784,-37.761495,13317
"4998",144.775436,-37.767207,16108
"4706",144.775086,-37.76712,13287
"4714",144.766176,-37.759562,13326
"4991",144.76603,-37.759505,16103
"4710",144.770812,-37.763939,13293
"4995",144.770629,-37.763971,16105
"20066",144.768393,-37.762064,6323
"4989",144.763677,-37.75809,16100
"4990",144.764826,-37.759148,16102
"4717",144.760826,-37.75554,14877
"4712",144.768139,-37.762212,13309
"4988",144.760991,-37.755696,16099
"20205",144.764699,-37.759218,6412
"4715",144.763527,-37.758169,13330
"4716",144.761901,-37.756759,14867
"4705",144.774748,-37.76933,12963
"1425",144.771731,-37.769606,3490
"3258",144.770933,-37.769709,12732
"20283",144.768575,-37.768465,6453
"3257",144.768833,-37.768957,12731
"1419",144.755364,-37.756752,3449
"3250",144.75528,-37.756912,12726
"3256",144.766527,-37.767886,12730
"1423",144.763984,-37.766378,3487
"1420",144.755438,-37.759195,3460
"3255",144.762943,-37.766268,12729
"3251",144.755238,-37.759426,12727
"3254",144.759886,-37.764876,12728
"1422",144.758509,-37.76385,3478
"1421",144.755671,-37.762354,3468
"47616",144.872783,-37.769447,17305
"47615",144.871106,-37.769723,17304
"9925",144.865178,-37.769427,11877
"10784",144.86507,-37.769623,364
"10783",144.864029,-37.767126,363
"9924",144.864037,-37.766865,11876
"10782",144.86242,-37.763474,362
"8440",144.862457,-37.76297,15904
"9175",144.857254,-37.769418,17446
"7338",144.857142,-37.769362,9613
"8439",144.861529,-37.760926,15902
"10781",144.861348,-37.760904,361
"9176",144.857746,-37.766913,17447
"7339",144.857596,-37.766613,9614
"9178",144.859735,-37.762128,17449
"7341",144.859675,-37.762235,9617
"9177",144.858491,-37.764313,17448
"7340",144.858279,-37.764183,9616
"8438",144.86044,-37.758121,15901
"9179",144.858593,-37.761161,17450
