STOP_ID, LONGITUDE, LATITUDE, OBJECTID
"42301",143.812336,-37.555185,4052
"45779",143.819706,-37.539427,4962
"35147",143.810104,-37.554989,1592
"42300",143.810074,-37.554889,4051
"46583",143.809409,-37.551385,5245
"35148",143.806838,-37.554613,1593
"45776",143.808497,-37.551549,4959
"45783",143.806719,-37.554492,4964
"35379",143.885755,-37.565724,1756
"48314",143.885568,-37.565854,6444
"48319",143.885869,-37.56351,6449
"35378",143.88382,-37.565979,1755
"48318",143.885644,-37.562405,6448
"35384",143.883226,-37.566098,1759
"48339",143.885258,-37.558638,6469
"35367",143.884671,-37.559127,1749
"48329",143.877923,-37.562706,6459
"48315",143.8823,-37.554658,6445
"48328",143.877758,-37.562611,6458
"48316",143.881987,-37.554839,6446
"48348",143.882439,-37.55322,6478
"48349",143.882293,-37.55318,6479
"35353",143.880702,-37.554976,1743
"48342",143.879217,-37.555568,6472
"35352",143.878603,-37.555651,1742
"35351",143.876099,-37.55653,1741
"35350",143.8734,-37.557468,1740
"48317",143.873256,-37.557653,6447
"48310",143.876218,-37.549334,6441
"48330",143.874496,-37.549388,6460
"35332",143.872889,-37.54967,1727
"35336",143.874283,-37.542309,1728
"35337",143.875286,-37.539408,1729
"35338",143.875,-37.538409,1730
"48347",143.868058,-37.549911,6477
"35331",143.867366,-37.549676,1726
"35329",143.865725,-37.552102,1725
"48344",143.869977,-37.542727,6474
"50384",143.864838,-37.551672,5987
"35344",143.866593,-37.548124,1736
"48346",143.866497,-37.547734,6476
"35339",143.871589,-37.537985,1731
"35343",143.866482,-37.546193,1735
"35342",143.866541,-37.543978,1734
"48345",143.866337,-37.543711,6475
"35341",143.867056,-37.541127,1733
"35340",143.867974,-37.537592,1732
"35066",143.860747,-37.546419,1541
"35087",143.86055,-37.546252,1549
"35064",143.861305,-37.543361,1540
"35088",143.861126,-37.543321,1550
"35063",143.861751,-37.541085,1539
"35090",143.861588,-37.540918,1551
"35062",143.861557,-37.539521,1538
"35091",143.861413,-37.539697,1552
"35060",143.85951,-37.538133,1537
